wsSids,ws_type,slope_type
10255810,2,NA
10257600,2,NA
10258000,3,1
10258500,2,NA
10259200,2,NA
10263500,1,NA
10264000,3,1
10287400,4,1
10289000,4,1
10290500,4,1
10291500,4,1
10292000,4,1
10296000,4,1
10296500,4,1
10308200,4,1
10308201,4,1
10310000,1,NA
10336600,4,1
10336645,4,1
10336676,4,1
10336780,4,1
10343500,4,1
10356500,3,1
10360900,4,1
11015000,3,1
11033000,3,1
11046300,3,1
11075720,2,NA
11080500,3,1
11084500,3,1
11086500,2,NA
11094000,1,NA
11096500,3,1
11098000,1,NA
11110500,3,1
11111500,3,1
11114500,3,1
11116000,1,NA
11117600,1,NA
11118000,3,1
11120500,3,1
11120550,3,1
11124500,1,NA
11132500,3,1
11134800,1,NA
11138500,1,NA
11139000,3,1
11141500,3,1
11143500,3,1
11147000,3,1
11147070,3,1
11147500,3,1
11149900,3,1
11152900,3,1
11153900,3,1
11154100,3,1
11160020,3,1
11160300,1,NA
11162570,3,1
11169800,3,1
11172100,3,1
11173200,3,1
11176000,3,1
11176400,3,1
11180500,3,1
11180825,3,1
11180960,3,1
11182100,3,1
11197250,2,NA
11199500,2,1
11204500,1,NA
11209900,4,1
11210100,1,NA
11211300,1,NA
11213500,4,1
11214000,4,2
11220000,1,NA
11220500,3,1
11224500,2,NA
11230500,4,2
11237500,4,2
11251000,4,1
11253310,2,NA
11257100,1,NA
11258900,3,1
11259000,3,1
11260480,3,1
11264500,4,1
11266500,4,1
11269300,3,1
11271320,3,1
11274500,3,1
11274630,3,1
11276500,4,1
11278000,4,1
11281000,1,NA
11282000,1,NA
11283500,1,NA
11284400,1,NA
11284700,1,NA
11292000,4,1
11292500,4,1
11294000,4,2
11296500,4,1
11299600,3,1
11306000,3,1
11309000,3,1
11316800,1,NA
11334300,3,1
11336000,3,1
11337500,3,1
11341400,1,NA
11342000,1,NA
11374000,1,NA
11378800,3,1
11379000,1,NA
11379500,1,NA
11381500,4,1
11382000,1,NA
11383500,1,NA
11384000,1,NA
11390672,3,1
11394500,3,1
11401200,4,1
11404500,4,1
11407300,3,1
11407500,3,1
11409300,3,1
11414000,4,1
11426150,3,1
11433260,1,NA
11436000,4,2
11449500,4,2
11451100,1,NA
11451500,1,NA
11451720,3,1
11452000,3,1
11453500,3,1
11454000,3,1
11456000,1,NA
11458000,1,NA
11458500,3,1
11461000,3,1
11463900,3,1
11464500,4,2
11465200,3,1
11467500,4,1
11468000,1,NA
11468500,1,NA
11470500,1,NA
11472200,4,2
11473900,3,1
11474500,1,NA
11475500,4,1
11475800,1,NA
11476500,4,1
11480390,4,1
11481200,4,2
11481500,1,NA
11482500,4,1
11489500,4,1
11521500,1,NA
11522500,1,NA
11525600,1,NA
11528700,3,1
